--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
TSK-0058,Fire NOC / Statutory Certificate Renewal Tracking - Condition Based Check,Condition Based,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0059,Risk Engineering Survey Recommendation Closure - Quarterly Check,Quarterly,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,
TSK-0060,Risk Engineering Survey Recommendation Closure - Condition Based Check,Condition Based,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered


--- WORKSHEET: 15_Traceability_Matrix ---

TaskID,ControlID,ObligationID,ClauseID,StandardID,RegulationID,AuthorityID,ComplianceAreaID,RiskID
TSK-0001,CTRL-001,OBL-0001,CLA-0001,STD-008,REG-001,AUTH-002,CA-001,RSK-007
TSK-0002,CTRL-001,OBL-0001,CLA-0001,STD-008,REG-001,AUTH-002,CA-001,RSK-007
TSK-0003,CTRL-002,OBL-0002,CLA-0002,STD-008,REG-008,AUTH-007,CA-001,RSK-007
TSK-0004,CTRL-002,OBL-0002,CLA-0002,STD-008,REG-008,AUTH-007,CA-001,RSK-007
TSK-0005,CTRL-003,OBL-0003,CLA-0003,STD-008,REG-007,AUTH-007,CA-001,RSK-009
TSK-0006,CTRL-003,OBL-0003,CLA-0003,STD-008,REG-007,AUTH-007,CA-001,RSK-009
TSK-0007,CTRL-004,OBL-0004,CLA-0004,STD-010,REG-002,AUTH-002,CA-002,RSK-013
TSK-0008,CTRL-004,OBL-0004,CLA-0004,STD-010,REG-002,AUTH-002,CA-002,RSK-013
TSK-0009,CTRL-005,OBL-0005,CLA-0005,STD-007,REG-001,AUTH-002,CA-002,RSK-002
TSK-0010,CTRL-005,OBL-0005,CLA-0005,STD-007,REG-001,AUTH-002,CA-002,RSK-002
TSK-0011,CTRL-006,OBL-0006,CLA-0006,STD-007,REG-002,AUTH-002,CA-002,RSK-001
TSK-0012,CTRL-006,OBL-0006,CLA-0006,STD-007,REG-002,AUTH-002,CA-002,RSK-001
TSK-0013,CTRL-007,OBL-0007,CLA-0007,STD-007,REG-008,AUTH-007,CA-002,RSK-013
TSK-0014,CTRL-007,OBL-0007,CLA-0007,STD-007,REG-008,AUTH-007,CA-002,RSK-013
TSK-0015,CTRL-008,OBL-0008,CLA-0008,STD-005,REG-001,AUTH-002,CA-003,RSK-009
TSK-0016,CTRL-008,OBL-0008,CLA-0008,STD-005,REG-001,AUTH-002,CA-003,RSK-009
TSK-0017,CTRL-009,OBL-0009,CLA-0009,STD-005,REG-009,AUTH-006,CA-003,RSK-009
TSK-0018,CTRL-009,OBL-0009,CLA-0009,STD-005,REG-009,AUTH-006,CA-003,RSK-009
TSK-0019,CTRL-010,OBL-0010,CLA-0010,STD-005,REG-007,AUTH-007,CA-003,RSK-009
TSK-0020,CTRL-010,OBL-0010,CLA-0010,STD-005,REG-007,AUTH-007,CA-003,RSK-009
TSK-0021,CTRL-011,OBL-0011,CLA-0011,STD-001,REG-003,AUTH-003,CA-004,RSK-004
TSK-0022,CTRL-011,OBL-0011,CLA-0011,STD-001,REG-003,AUTH-003,CA-004,RSK-004
TSK-0023,CTRL-012,OBL-0012,CLA-0012,STD-001,REG-009,AUTH-006,CA-004,RSK-004
TSK-0024,CTRL-012,OBL-0012,CLA-0012,STD-001,REG-009,AUTH-006,CA-004,RSK-004
TSK-0025,CTRL-013,OBL-0013,CLA-0013,STD-001,REG-003,AUTH-003,CA-004,RSK-007
TSK-0026,CTRL-013,OBL-0013,CLA-0013,STD-001,REG-003,AUTH-003,CA-004,RSK-007
TSK-0027,CTRL-014,OBL-0014,CLA-0014,STD-002,REG-006,AUTH-005,CA-005,RSK-006
TSK-0028,CTRL-014,OBL-0014,CLA-0014,STD-002,REG-006,AUTH-005,CA-005,RSK-006
TSK-0029,CTRL-015,OBL-0015,CLA-0015,STD-004,REG-010,AUTH-006,CA-005,RSK-005
TSK-0030,CTRL-015,OBL-0015,CLA-0015,STD-004,REG-010,AUTH-006,CA-005,RSK-005
TSK-0031,CTRL-016,OBL-0016,CLA-0016,STD-001,REG-006,AUTH-005,CA-005,RSK-006
TSK-0032,CTRL-016,OBL-0016,CLA-0016,STD-001,REG-006,AUTH-005,CA-005,RSK-006
TSK-0033,CTRL-017,OBL-0017,CLA-0017,STD-002,REG-005,AUTH-004,CA-006,RSK-010
TSK-0034,CTRL-017,OBL-0017,CLA-0017,STD-002,REG-005,AUTH-004,CA-006,RSK-010
TSK-0035,CTRL-018,OBL-0018,CLA-0018,STD-002,REG-004,AUTH-004,CA-006,RSK-010
TSK-0036,CTRL-018,OBL-0018,CLA-0018,STD-002,REG-004,AUTH-004,CA-006,RSK-010
TSK-0037,CTRL-019,OBL-0019,CLA-0019,STD-003,REG-003,AUTH-003,CA-007,RSK-007
TSK-0038,CTRL-019,OBL-0019,CLA-0019,STD-003,REG-003,AUTH-003,CA-007,RSK-007
TSK-0039,CTRL-020,OBL-0020,CLA-0020,STD-003,REG-009,AUTH-006,CA-007,RSK-015
TSK-0040,CTRL-020,OBL-0020,CLA-0020,STD-003,REG-009,AUTH-006,CA-007,RSK-015
TSK-0041,CTRL-021,OBL-0021,CLA-0021,STD-001,REG-001,AUTH-001,CA-007,RSK-008
TSK-0042,CTRL-021,OBL-0021,CLA-0021,STD-001,REG-001,AUTH-001,CA-007,RSK-008
TSK-0043,CTRL-022,OBL-0022,CLA-0022,STD-003,REG-008,AUTH-006,CA-007,RSK-015
TSK-0044,CTRL-022,OBL-0022,CLA-0022,STD-003,REG-008,AUTH-006,CA-007,RSK-015
TSK-0045,CTRL-023,OBL-0023,CLA-0023,STD-002,REG-011,AUTH-008,CA-008,RSK-014
TSK-0046,CTRL-023,OBL-0023,CLA-0023,STD-002,REG-011,AUTH-008,CA-008,RSK-014
TSK-0047,CTRL-024,OBL-0024,CLA-0024,STD-002,REG-011,AUTH-008,CA-008,RSK-014
TSK-0048,CTRL-024,OBL-0024,CLA-0024,STD-002,REG-011,AUTH-008,CA-008,RSK-014
TSK-0049,CTRL-025,OBL-0025,CLA-0025,STD-004,REG-007,AUTH-007,CA-009,RSK-001
TSK-0050,CTRL-025,OBL-0025,CLA-0025,STD-004,REG-007,AUTH-007,CA-009,RSK-001
TSK-0051,CTRL-026,OBL-0026,CLA-0026,STD-006,REG-002,AUTH-002,CA-009,RSK-011
TSK-0052,CTRL-026,OBL-0026,CLA-0026,STD-006,REG-002,AUTH-002,CA-009,RSK-011
TSK-0053,CTRL-027,OBL-0027,CLA-0027,STD-004,REG-009,AUTH-006,CA-009,RSK-011
TSK-0054,CTRL-027,OBL-0027,CLA-0027,STD-004,REG-009,AUTH-006,CA-009,RSK-011
TSK-0055,CTRL-028,OBL-0028,CLA-0028,STD-005,REG-002,AUTH-002,CA-010,RSK-012
TSK-0056,CTRL-028,OBL-0028,CLA-0028,STD-005,REG-002,AUTH-002,CA-010,RSK-012
TSK-0057,CTRL-029,OBL-0029,CLA-0029,STD-004,REG-002,AUTH-002,CA-010,RSK-011
TSK-0058,CTRL-029,OBL-0029,CLA-0029,STD-004,REG-002,AUTH-002,CA-010,RSK-011
TSK-0059,CTRL-030,OBL-0030,CLA-0030,STD-004,REG-010,AUTH-006,CA-010,RSK-012
TSK-0060,CTRL-030,OBL-0030,CLA-0030,STD-004,REG-010,AUTH-006,CA-010,RSK-012


--- WORKSHEET: 16_Relationship_Matrix ---

From_ID,From_Type,Relationship,To_ID,To_Type,Relationship_Category,Cardinality
AUTH-001,Authority,issues,REG-001,Regulation,Traceability,1:N
AUTH-002,Authority,issues,REG-002,Regulation,Traceability,1:N
AUTH-003,Authority,issues,REG-003,Regulation,Traceability,1:N
AUTH-004,Authority,issues,REG-004,Regulation,Traceability,1:N
AUTH-004,Authority,issues,REG-005,Regulation,Traceability,1:N
AUTH-005,Authority,issues,REG-006,Regulation,Traceability,1:N
AUTH-007,Authority,issues,REG-007,Regulation,Traceability,1:N
AUTH-006,Authority,issues,REG-008,Regulation,Traceability,1:N
AUTH-006,Authority,issues,REG-009,Regulation,Traceability,1:N
AUTH-006,Authority,issues,REG-010,Regulation,Traceability,1:N
AUTH-008,Authority,issues,REG-011,Regulation,Traceability,1:N
STD-008,STD,defines,CLA-0001,Clause,Traceability,1:N
STD-008,STD,defines,CLA-0002,Clause,Traceability,1:N
STD-008,STD,defines,CLA-0003,Clause,Traceability,1:N
STD-010,STD,defines,CLA-0004,Clause,Traceability,1:N
STD-007,STD,defines,CLA-0005,Clause,Traceability,1:N
REG-002,REG,defines,CLA-0006,Clause,Traceability,1:N
STD-007,STD,defines,CLA-0007,Clause,Traceability,1:N
REG-001,REG,defines,CLA-0008,Clause,Traceability,1:N
STD-005,STD,defines,CLA-0009,Clause,Traceability,1:N
REG-007,REG,defines,CLA-0010,Clause,Traceability,1:N
STD-001,STD,defines,CLA-0011,Clause,Traceability,1:N
STD-001,STD,defines,CLA-0012,Clause,Traceability,1:N
REG-003,REG,defines,CLA-0013,Clause,Traceability,1:N
REG-006,REG,defines,CLA-0014,Clause,Traceability,1:N
REG-010,REG,defines,CLA-0015,Clause,Traceability,1:N
STD-001,STD,defines,CLA-0016,Clause,Traceability,1:N
REG-005,REG,defines,CLA-0017,Clause,Traceability,1:N
REG-004,REG,defines,CLA-0018,Clause,Traceability,1:N
STD-003,STD,defines,CLA-0019,Clause,Traceability,1:N
STD-003,STD,defines,CLA-0020,Clause,Traceability,1:N
REG-001,REG,defines,CLA-0021,Clause,Traceability,1:N
STD-003,STD,defines,CLA-0022,Clause,Traceability,1:N
REG-011,REG,defines,CLA-0023,Clause,Traceability,1:N
REG-011,REG,defines,CLA-0024,Clause,Traceability,1:N
REG-007,REG,defines,CLA-0025,Clause,Traceability,1:N
STD-006,STD,defines,CLA-0026,Clause,Traceability,1:N
STD-004,STD,defines,CLA-0027,Clause,Traceability,1:N
STD-005,STD,defines,CLA-0028,Clause,Traceability,1:N
REG-002,REG,defines,CLA-0029,Clause,Traceability,1:N
STD-004,STD,defines,CLA-0030,Clause,Traceability,1:N
STD-001,STD,defines,CLA-0031,Clause,Traceability,1:N
STD-002,STD,defines,CLA-0032,Clause,Traceability,1:N
REG-009,REG,defines,CLA-0033,Clause,Traceability,1:N
REG-008,REG,defines,CLA-0034,Clause,Traceability,1:N
CLA-0001,Clause,creates,OBL-0001,Obligation,Traceability,1:1
CLA-0002,Clause,creates,OBL-0002,Obligation,Traceability,1:1
CLA-0003,Clause,creates,OBL-0003,Obligation,Traceability,1:1
CLA-0004,Clause,creates,OBL-0004,Obligation,Traceability,1:1
CLA-0005,Clause,creates,OBL-0005,Obligation,Traceability,1:1
CLA-0006,Clause,creates,OBL-0006,Obligation,Traceability,1:1
CLA-0007,Clause,creates,OBL-0007,Obligation,Traceability,1:1
CLA-0008,Clause,creates,OBL-0008,Obligation,Traceability,1:1
CLA-0009,Clause,creates,OBL-0009,Obligation,Traceability,1:1
CLA-0010,Clause,creates,OBL-0010,Obligation,Traceability,1:1
CLA-0011,Clause,creates,OBL-0011,Obligation,Traceability,1:1
CLA-0012,Clause,creates,OBL-0012,Obligation,Traceability,1:1
CLA-0013,Clause,creates,OBL-0013,Obligation,Traceability,1:1
CLA-0014,Clause,creates,OBL-0014,Obligation,Traceability,1:1
CLA-0015,Clause,creates,OBL-0015,Obligation,Traceability,1:1
CLA-0016,Clause,creates,OBL-0016,Obligation,Traceability,1:1
CLA-0017,Clause,creates,OBL-0017,Obligation,Traceability,1:1
CLA-0018,Clause,creates,OBL-0018,Obligation,Traceability,1:1
CLA-0019,Clause,creates,OBL-0019,Obligation,Traceability,1:1
CLA-0020,Clause,creates,OBL-0020,Obligation,Traceability,1:1
CLA-0021,Clause,creates,OBL-0021,Obligation,Traceability,1:1
CLA-0022,Clause,creates,OBL-0022,Obligation,Traceability,1:1
CLA-0023,Clause,creates,OBL-0023,Obligation,Traceability,1:1
CLA-0024,Clause,creates,OBL-0024,Obligation,Traceability,1:1
CLA-0025,Clause,creates,OBL-0025,Obligation,Traceability,1:1
CLA-0026,Clause,creates,OBL-0026,Obligation,Traceability,1:1
CLA-0027,Clause,creates,OBL-0027,Obligation,Traceability,1:1
CLA-0028,Clause,creates,OBL-0028,Obligation,Traceability,1:1
CLA-0029,Clause,creates,OBL-0029,Obligation,Traceability,1:1
CLA-0030,Clause,creates,OBL-0030,Obligation,Traceability,1:1
CLA-0031,Clause,creates,OBL-0031,Obligation,Traceability,1:1
CLA-0032,Clause,creates,OBL-0032,Obligation,Traceability,1:1
CLA-0033,Clause,creates,OBL-0033,Obligation,Traceability,1:1
CLA-0034,Clause,creates,OBL-0034,Obligation,Traceability,1:1
OBL-0001,Obligation,satisfied_by,CTRL-001,Control,Traceability,1:N
CA-001,ComplianceArea,governs,CTRL-001,Control,Traceability,1:N
RSK-007,Risk,mitigated_by,CTRL-001,Control,Traceability,1:N
STD-008,Standard,referenced_by,CTRL-001,Control,Traceability,1:N
REG-001,Regulation,referenced_by,CTRL-001,Control,Traceability,1:N
AUTH-002,Authority,oversees,CTRL-001,Control,Traceability,1:N
OBL-0002,Obligation,satisfied_by,CTRL-002,Control,Traceability,1:N
CA-001,ComplianceArea,governs,CTRL-002,Control,Traceability,1:N
RSK-007,Risk,mitigated_by,CTRL-002,Control,Traceability,1:N
STD-008,Standard,referenced_by,CTRL-002,Control,Traceability,1:N
REG-008,Regulation,referenced_by,CTRL-002,Control,Traceability,1:N
AUTH-007,Authority,oversees,CTRL-002,Control,Traceability,1:N
OBL-0003,Obligation,satisfied_by,CTRL-003,Control,Traceability,1:N
CA-001,ComplianceArea,governs,CTRL-003,Control,Traceability,1:N
RSK-009,Risk,mitigated_by,CTRL-003,Control,Traceability,1:N
STD-008,Standard,referenced_by,CTRL-003,Control,Traceability,1:N
REG-007,Regulation,referenced_by,CTRL-003,Control,Traceability,1:N
AUTH-007,Authority,oversees,CTRL-003,Control,Traceability,1:N
OBL-0004,Obligation,satisfied_by,CTRL-004,Control,Traceability,1:N
CA-002,ComplianceArea,governs,CTRL-004,Control,Traceability,1:N
RSK-013,Risk,mitigated_by,CTRL-004,Control,Traceability,1:N
STD-010,Standard,referenced_by,CTRL-004,Control,Traceability,1:N
REG-002,Regulation,referenced_by,CTRL-004,Control,Traceability,1:N
AUTH-002,Authority,oversees,CTRL-004,Control,Traceability,1:N
OBL-0005,Obligation,satisfied_by,CTRL-005,Control,Traceability,1:N
CA-002,ComplianceArea,governs,CTRL-005,Control,Traceability,1:N
RSK-002,Risk,mitigated_by,CTRL-005,Control,Traceability,1:N
STD-007,Standard,referenced_by,CTRL-005,Control,Traceability,1:N
REG-001,Regulation,referenced_by,CTRL-005,Control,Traceability,1:N
AUTH-002,Authority,oversees,CTRL-005,Control,Traceability,1:N
OBL-0006,Obligation,satisfied_by,CTRL-006,Control,Traceability,1:N
CA-002,ComplianceArea,governs,CTRL-006,Control,Traceability,1:N
RSK-001,Risk,mitigated_by,CTRL-006,Control,Traceability,1:N
STD-007,Standard,referenced_by,CTRL-006,Control,Traceability,1:N
REG-002,Regulation,referenced_by,CTRL-006,Control,Traceability,1:N
AUTH-002,Authority,oversees,CTRL-006,Control,Traceability,1:N
OBL-0007,Obligation,satisfied_by,CTRL-007,Control,Traceability,1:N
CA-002,ComplianceArea,governs,CTRL-007,Control,Traceability,1:N
RSK-013,Risk,mitigated_by,CTRL-007,Control,Traceability,1:N
STD-007,Standard,referenced_by,CTRL-007,Control,Traceability,1:N
REG-008,Regulation,referenced_by,CTRL-007,Control,Traceability,1:N
AUTH-007,Authority,oversees,CTRL-007,Control,Traceability,1:N
OBL-0008,Obligation,satisfied_by,CTRL-008,Control,Traceability,1:N
CA-003,ComplianceArea,governs,CTRL-008,Control,Traceability,1:N
RSK-009,Risk,mitigated_by,CTRL-008,Control,Traceability,1:N
STD-005,Standard,referenced_by,CTRL-008,Control,Traceability,1:N
REG-001,Regulation,referenced_by,CTRL-008,Control,Traceability,1:N
AUTH-002,Authority,oversees,CTRL-008,Control,Traceability,1:N
OBL-0009,Obligation,satisfied_by,CTRL-009,Control,Traceability,1:N
CA-003,ComplianceArea,governs,CTRL-009,Control,Traceability,1:N
RSK-009,Risk,mitigated_by,CTRL-009,Control,Traceability,1:N
STD-005,Standard,referenced_by,CTRL-009,Control,Traceability,1:N
REG-009,Regulation,referenced_by,CTRL-009,Control,Traceability,1:N
AUTH-006,Authority,oversees,CTRL-009,Control,Traceability,1:N
OBL-0010,Obligation,satisfied_by,CTRL-010,Control,Traceability,1:N
CA-003,ComplianceArea,governs,CTRL-010,Control,Traceability,1:N
RSK-009,Risk,mitigated_by,CTRL-010,Control,Traceability,1:N
STD-005,Standard,referenced_by,CTRL-010,Control,Traceability,1:N
REG-007,Regulation,referenced_by,CTRL-010,Control,Traceability,1:N
AUTH-007,Authority,oversees,CTRL-010,Control,Traceability,1:N
OBL-0011,Obligation,satisfied_by,CTRL-011,Control,Traceability,1:N
CA-004,ComplianceArea,governs,CTRL-011,Control,Traceability,1:N
RSK-004,Risk,mitigated_by,CTRL-011,Control,Traceability,1:N
STD-001,Standard,referenced_by,CTRL-011,Control,Traceability,1:N
REG-003,Regulation,referenced_by,CTRL-011,Control,Traceability,1:N
AUTH-003,Authority,oversees,CTRL-011,Control,Traceability,1:N
OBL-0012,Obligation,satisfied_by,CTRL-012,Control,Traceability,1:N
CA-004,ComplianceArea,governs,CTRL-012,Control,Traceability,1:N
RSK-004,Risk,mitigated_by,CTRL-012,Control,Traceability,1:N
STD-001,Standard,referenced_by,CTRL-012,Control,Traceability,1:N
REG-009,Regulation,referenced_by,CTRL-012,Control,Traceability,1:N
AUTH-006,Authority,oversees,CTRL-012,Control,Traceability,1:N
OBL-0013,Obligation,satisfied_by,CTRL-013,Control,Traceability,1:N
CA-004,ComplianceArea,governs,CTRL-013,Control,Traceability,1:N
RSK-007,Risk,mitigated_by,CTRL-013,Control,Traceability,1:N
STD-001,Standard,referenced_by,CTRL-013,Control,Traceability,1:N
REG-003,Regulation,referenced_by,CTRL-013,Control,Traceability,1:N
AUTH-003,Authority,oversees,CTRL-013,Control,Traceability,1:N
OBL-0014,Obligation,satisfied_by,CTRL-014,Control,Traceability,1:N
CA-005,ComplianceArea,governs,CTRL-014,Control,Traceability,1:N
RSK-006,Risk,mitigated_by,CTRL-014,Control,Traceability,1:N
STD-002,Standard,referenced_by,CTRL-014,Control,Traceability,1:N
REG-006,Regulation,referenced_by,CTRL-014,Control,Traceability,1:N
AUTH-005,Authority,oversees,CTRL-014,Control,Traceability,1:N
OBL-0015,Obligation,satisfied_by,CTRL-015,Control,Traceability,1:N
CA-005,ComplianceArea,governs,CTRL-015,Control,Traceability,1:N
RSK-005,Risk,mitigated_by,CTRL-015,Control,Traceability,1:N
STD-004,Standard,referenced_by,CTRL-015,Control,Traceability,1:N
REG-010,Regulation,referenced_by,CTRL-015,Control,Traceability,1:N
AUTH-006,Authority,oversees,CTRL-015,Control,Traceability,1:N
OBL-0016,Obligation,satisfied_by,CTRL-016,Control,Traceability,1:N
CA-005,ComplianceArea,governs,CTRL-016,Control,Traceability,1:N
RSK-006,Risk,mitigated_by,CTRL-016,Control,Traceability,1:N
STD-001,Standard,referenced_by,CTRL-016,Control,Traceability,1:N
REG-006,Regulation,referenced_by,CTRL-016,Control,Traceability,1:N
AUTH-005,Authority,oversees,CTRL-016,Control,Traceability,1:N
OBL-0017,Obligation,satisfied_by,CTRL-017,Control,Traceability,1:N
CA-006,ComplianceArea,governs,CTRL-017,Control,Traceability,1:N
RSK-010,Risk,mitigated_by,CTRL-017,Control,Traceability,1:N
STD-002,Standard,referenced_by,CTRL-017,Control,Traceability,1:N
REG-005,Regulation,referenced_by,CTRL-017,Control,Traceability,1:N
AUTH-004,Authority,oversees,CTRL-017,Control,Traceability,1:N
OBL-0018,Obligation,satisfied_by,CTRL-018,Control,Traceability,1:N
CA-006,ComplianceArea,governs,CTRL-018,Control,Traceability,1:N
RSK-010,Risk,mitigated_by,CTRL-018,Control,Traceability,1:N
STD-002,Standard,referenced_by,CTRL-018,Control,Traceability,1:N
REG-004,Regulation,referenced_by,CTRL-018,Control,Traceability,1:N
AUTH-004,Authority,oversees,CTRL-018,Control,Traceability,1:N
OBL-0019,Obligation,satisfied_by,CTRL-019,Control,Traceability,1:N
CA-007,ComplianceArea,governs,CTRL-019,Control,Traceability,1:N
RSK-007,Risk,mitigated_by,CTRL-019,Control,Traceability,1:N
STD-003,Standard,referenced_by,CTRL-019,Control,Traceability,1:N
REG-003,Regulation,referenced_by,CTRL-019,Control,Traceability,1:N
AUTH-003,Authority,oversees,CTRL-019,Control,Traceability,1:N
OBL-0020,Obligation,satisfied_by,CTRL-020,Control,Traceability,1:N
CA-007,ComplianceArea,governs,CTRL-020,Control,Traceability,1:N
RSK-015,Risk,mitigated_by,CTRL-020,Control,Traceability,1:N
STD-003,Standard,referenced_by,CTRL-020,Control,Traceability,1:N
REG-009,Regulation,referenced_by,CTRL-020,Control,Traceability,1:N
AUTH-006,Authority,oversees,CTRL-020,Control,Traceability,1:N
OBL-0021,Obligation,satisfied_by,CTRL-021,Control,Traceability,1:N
CA-007,ComplianceArea,governs,CTRL-021,Control,Traceability,1:N
RSK-008,Risk,mitigated_by,CTRL-021,Control,Traceability,1:N
STD-001,Standard,referenced_by,CTRL-021,Control,Traceability,1:N
REG-001,Regulation,referenced_by,CTRL-021,Control,Traceability,1:N
AUTH-001,Authority,oversees,CTRL-021,Control,Traceability,1:N
OBL-0022,Obligation,satisfied_by,CTRL-022,Control,Traceability,1:N
CA-007,ComplianceArea,governs,CTRL-022,Control,Traceability,1:N
RSK-015,Risk,mitigated_by,CTRL-022,Control,Traceability,1:N
STD-003,Standard,referenced_by,CTRL-022,Control,Traceability,1:N
REG-008,Regulation,referenced_by,CTRL-022,Control,Traceability,1:N
AUTH-006,Authority,oversees,CTRL-022,Control,Traceability,1:N
OBL-0023,Obligation,satisfied_by,CTRL-023,Control,Traceability,1:N
CA-008,ComplianceArea,governs,CTRL-023,Control,Traceability,1:N
RSK-014,Risk,mitigated_by,CTRL-023,Control,Traceability,1:N
STD-002,Standard,referenced_by,CTRL-023,Control,Traceability,1:N
REG-011,Regulation,referenced_by,CTRL-023,Control,Traceability,1:N
AUTH-008,Authority,oversees,CTRL-023,Control,Traceability,1:N
OBL-0024,Obligation,satisfied_by,CTRL-024,Control,Traceability,1:N
CA-008,ComplianceArea,governs,CTRL-024,Control,Traceability,1:N
RSK-014,Risk,mitigated_by,CTRL-024,Control,Traceability,1:N
STD-002,Standard,referenced_by,CTRL-024,Control,Traceability,1:N
REG-011,Regulation,referenced_by,CTRL-024,Control,Traceability,1:N
